fold,best_acc,best_uar,best_uf1,best_score
1,0.790625,0.7685034628124058,0.600556586270872,0.7057490196333112
2,0.75625,0.6984342065642878,0.5536334054852574,0.6520770448198181
3,0.7335423197492164,0.7237654320987654,0.5658093540446482,0.6625383784072088
4,0.7053291536050157,0.8626543209876543,0.5748350114348512,0.7160615636900054
5,0.7178683385579937,0.6959876543209876,0.521648306225689,0.6306280519302694
6,0.8213166144200627,0.7599560753971852,0.6374019339536581,0.7232065266243499
7,0.7836990595611285,0.7381952629935221,0.6010759326219244,0.6924482901584044
8,0.799373040752351,0.6218723029857313,0.5433803124557745,0.6259756543270726
9,0.780564263322884,0.7783016491874956,0.6004841459386914,0.7076271707150517
10,0.7460815047021944,0.7715618420124722,0.5749375749375749,0.6878160677204578
