fold,best_acc,best_uar,best_uf1,best_score
1,0.878125,0.7314664257753689,0.6851088012612513,0.7422550908146481
2,0.9125,0.7243601324902138,0.7342828040307032,0.7659571746083669
3,0.8746081504702194,0.7580246913580247,0.6950331739501093,0.7561447762172975
4,0.9247648902821317,0.8635802469135802,0.8073508010355229,0.8533253972360676
5,0.877742946708464,0.630246913580247,0.6202190443763477,0.6757349725243307
6,0.8871473354231975,0.608332241934563,0.6207564575645756,0.669064946884295
7,0.8589341692789969,0.6770097688585311,0.6434234604625667,0.6999601255842386
8,0.8557993730407524,0.5890497442768727,0.5770297612478387,0.6375916768180351
9,0.8683385579937304,0.6573679491441754,0.6300092472115156,0.6886185901410226
10,0.890282131661442,0.6798238986107333,0.6560147093768995,0.7123918695273417
