fold,best_acc,best_uar,best_uf1,best_score
1,0.803125,0.6604637157482686,0.6019013666072489,0.6655710329422071
2,0.825,0.5794640168623909,0.5475913374865932,0.6158221417395937
3,0.7147335423197492,0.5308641975308642,0.48296838179142537,0.5484797401928657
4,0.7398119122257053,0.6478395061728396,0.5261459930701843,0.6175565821423507
5,0.799373040752351,0.5280864197530865,0.5023291180357156,0.572040823265991
6,0.7711598746081505,0.5638266791589849,0.5368777931884728,0.5945137638606133
7,0.768025078369906,0.5474624139054277,0.5042710570269625,0.5742984040469373
8,0.7460815047021944,0.5236632044139524,0.48117469879518077,0.5511514622240923
9,0.8432601880877743,0.6130000705211512,0.5972308574895551,0.6527444088218375
10,0.8495297805642633,0.5301007780833694,0.5349412492269635,0.5959227670369858
