fold,best_acc,best_uar,best_uf1,best_score
1,0.734375,0.7462812405901836,0.5526020853428874,0.6664283303732284
2,0.871875,0.7234266787112316,0.6813331050619186,0.73627891350926
3,0.6018808777429467,0.6935185185185184,0.45633633954596625,0.5803181187743833
4,0.7178683385579937,0.7959876543209877,0.6094072956818054,0.705731647712716
5,0.8620689655172413,0.6743827160493826,0.6374326857872273,0.6971399538380922
6,0.542319749216301,0.6716871010097957,0.4493890212342971,0.5568943987408973
7,0.8150470219435737,0.7863847163874365,0.6301000292331739,0.7296033026369589
8,0.7554858934169278,0.6058673597888394,0.5224554972392479,0.6024263214946205
9,0.6614420062695925,0.7394478529667577,0.5017491645781119,0.6287672082718664
10,0.786833855799373,0.717418388558111,0.59263015551048,0.681386188787311
