fold,best_acc,best_uar,best_uf1,best_score
1,0.878125,0.7823848238482385,0.7000434962267024,0.7685963280299764
2,0.7875,0.6900933453778982,0.5746745493155667,0.663407157877386
3,0.8056426332288401,0.7524691358024692,0.6064693090347141,0.7047039045806414
4,0.6959247648902821,0.844753086419753,0.5482768156850778,0.6963969138199888
5,0.6614420062695925,0.7308641975308642,0.498415043399056,0.6240000976258866
6,0.438871473354232,0.6183563198705097,0.3516571879292291,0.4757796977907419
7,0.8495297805642633,0.7008559924508786,0.6307784814373235,0.7025597456681335
8,0.7774294670846394,0.6627779288945306,0.5575274348422496,0.64360803891164
9,0.5768025078369906,0.7693521792714829,0.46812991291537087,0.6103533384421397
10,0.7899686520376176,0.7475645016673215,0.5943544759334233,0.6947613214478214
